index,company,car_type,wheel-base,length,engine-type,num-of-cylinders,egine_capacity,average-km,price,,,,,
0,Honda,Convertible,88.6,168.8,dohc,four,7.4,33.79614,87717.5,,,,,
1,Honda,Convertible,88.6,168.8,dohc,four,7.4,33.79614,107250,,,,,
2,Honda,Four Wheel Drive,94.5,171.2,ohcv,six,10.3,30.57746,107250,,,,,
3,Hyundai,Salon car,99.8,176.6,ohc,four,6.8,38.62416,90675,,,,,
4,Hyundai,Salon car,99.4,176.6,ohc,five,7.7,28.96812,113425,,,,,
5,Hyundai,Salon car,99.8,177.3,ohc,five,7.3,30.57746,99125,,,,,
6,Hyundai,Wagon,105.8,192.7,ohc,five,7.3,30.57746,122980,,,,,
9,Bmw,Salon car,101.2,176.8,ohc,four,6.7,37.01482,106795,,,,,
10,Bmw,Salon car,101.2,176.8,ohc,four,6.7,37.01482,110012.5,,,,,
11,Bmw,Salon car,101.2,176.8,ohc,six,8.1,33.79614,136305,,,,,
13,Bmw,Salon car,103.5,189,ohc,six,12.1,25.74944,199940,,,,,
14,Bmw,Salon car,103.5,193.8,ohc,six,12.1,25.74944,268547.5,,,,,
15,Bmw,Salon car,110,197,ohc,six,12.1,24.1401,239720,,,,,
16,Kantaka,Four Wheel Drive,88.4,141.1,l,three,3.2,75.63898,33481.5,,,,,
17,Kantaka,Four Wheel Drive,94.5,155.9,ohc,four,4.7,61.15492,40917.5,,,,,
18,Kantaka,Salon car,94.5,158.8,ohc,four,4.7,61.15492,42737.5,,,,,
19,Kantaka,Four Wheel Drive,93.7,157.3,ohc,four,4.5,49.88954,41450.5,,,,,
20,Kantaka,Four Wheel Drive,93.7,157.3,ohc,four,4.5,49.88954,40488.5,,,,,
27,Kantaka,Wagon,96.5,157.1,ohc,four,5.1,48.2802,47417.5,,,,,
28,Kantaka,Salon car,96.5,175.4,ohc,four,6.7,38.62416,84142.5,,,,,
29,Kantaka,Salon car,96.5,169.1,ohc,four,6.7,40.2335,67242.5,,,,,
30,Kantaka,Salon car,94.3,170.7,ohc,four,5.2,38.62416,44102.5,,,,,
31,Kantaka,Salon car,94.5,155.9,ohc,four,4.7,61.15492,,,,,,
32,Kantaka,Salon car,94.5,155.9,ohc,four,4.7,61.15492,,,,,,
33,Kantaka,Salon car,113,199.6,dohc,six,11.7,24.1401,209625,,,,,
34,Kantaka,Salon car,113,199.6,dohc,six,11.7,24.1401,231075,,,,,
35,Kantaka,Salon car,102,191.7,ohcv,twelve,17.5,20.92142,234000,,,,,
36,Mazda,Four Wheel Drive,93.1,159.1,ohc,four,4.5,48.2802,33767.5,,,,,
37,Mazda,Four Wheel Drive,93.1,159.1,ohc,four,4.5,49.88954,39617.5,,,,,
38,Mazda,Four Wheel Drive,93.1,159.1,ohc,four,4.5,49.88954,44167.5,,,,,
39,Mazda,Four Wheel Drive,95.3,169,rotor,two,6.7,27.35878,76992.5,,,,,
43,Mazda,Salon car,104.9,175,ohc,four,4.8,49.88954,119236,,,,,
44,Toyota,Salon car,110,190.9,ohc,five,8.2,35.40548,166088,,,,,
45,Toyota,Wagon,110,190.9,ohc,five,8.2,35.40548,183612,,,,,
46,Toyota,Salon car,120.9,208.1,ohcv,eight,12.3,22.53076,266240,,,,,
47,Toyota,hardtop,112,199.2,ohcv,eight,12.3,22.53076,295100,,,,,
49,Mitsubishi,Four Wheel Drive,93.7,157.3,ohc,four,4.5,59.54558,35028.5,,,,,
50,Mitsubishi,Four Wheel Drive,93.7,157.3,ohc,four,4.5,49.88954,40228.5,,,,,
51,Mitsubishi,Salon car,96.3,172.4,ohc,four,5.9,40.2335,45428.5,,,,,
52,Mitsubishi,Salon car,96.3,172.4,ohc,four,5.9,40.2335,53228.5,,,,,
53,Nissan,Salon car,94.5,165.3,ohc,four,3.7,72.4203,46143.5,,,,,
54,Nissan,Salon car,94.5,165.3,ohc,four,4.6,49.88954,43218.5,,,,,
55,Nissan,Salon car,94.5,165.3,ohc,four,4.6,49.88954,44518.5,,,,,
56,Nissan,Wagon,94.5,170.2,ohc,four,4.6,49.88954,47768.5,,,,,
57,Nissan,Salon car,100.4,184.6,ohcv,six,10.1,30.57746,87743.5,,,,,
61,Mitsubishi,Convertible,89.5,168.9,ohcf,six,13.8,27.35878,221182,,,,,
62,Mitsubishi,Convertible,89.5,168.9,ohcf,six,13.8,27.35878,240682,,,,,
63,Mitsubishi,Four Wheel Drive,98.4,175.7,dohcv,eight,19.2,27.35878,,,,,,
66,Honda,Four Wheel Drive,95.7,158.7,ohc,four,4.1,56.3269,34762,,,,,
67,Honda,Four Wheel Drive,95.7,158.7,ohc,four,4.1,49.88954,41197,,,,,
68,Honda,Four Wheel Drive,95.7,158.7,ohc,four,4.1,49.88954,42172,,,,,
69,Honda,Wagon,95.7,169.7,ohc,four,4.1,49.88954,44967,,,,,
70,Honda,Wagon,95.7,169.7,ohc,four,4.1,43.45218,51337,,,,,
71,Honda,Wagon,95.7,169.7,ohc,four,4.1,43.45218,57057,,,,,
79,Honda,Wagon,104.5,187.8,dohc,six,10.4,30.57746,102375,,,,,
80,Toyota,Salon car,97.3,171.7,ohc,four,3.5,59.54558,50537.5,,,,,
81,Toyota,Salon car,97.3,171.7,ohc,four,5.7,43.45218,51837.5,,,,,
82,Toyota,Salon car,97.3,171.7,ohc,four,3.5,59.54558,51967.5,,,,,
86,Toyota,Salon car,97.3,171.7,ohc,four,6.7,41.84284,64967.5,,,,,
87,Mitsubishi,Salon car,104.3,188.8,ohc,four,7.6,37.01482,84110,,,,,
88,Mitsubishi,Wagon,104.3,188.8,ohc,four,7.6,37.01482,87197.5,,,,,
